source,target,weight
10.1016/j.rineng.2024.102766,10.3390/ELECTRONICS14244857,0.43259045634870014
10.1016/j.rineng.2024.102766,基于大数据分析的电力调度自动化负荷预测模型研究,0.36980013081681945
10.1038/S41598-025-28907-5,10.1049/RPG2.70162,0.4531466433086317
10.1038/S41598-025-28907-5,10.1080/15435075.2025.2563145,0.5070724870494425
10.1038/S41598-025-28907-5,10.13612/j.cnki.cntp.2025.22.001,0.4529108136578383
10.1038/S41598-025-28907-5,10.19651/j.cnki.emt.2519013,0.44474958999666064
10.1038/S41598-025-28907-5,10.19768/j.cnki.dgjs.2025.14.035,0.48038446141526137
10.1038/S41598-025-28907-5,10.26914/c.cnkihy.2025.077503,0.43695196726442653
10.1038/S41598-025-28907-5,10.27034/d.cnki.ggxiu.2025.000594,0.4396520051149294
10.1038/S41598-025-28907-5,一种双阶段电力数据异常分析模型,0.46773480499969833
10.1038/S41598-025-28907-5,基于火用损能效评估的多能耦合微电网双层协同优化方法,0.4535394202249742
10.1038/S41598-025-28986-4,10.16618/j.cnki.1674-8417.2025.06.001,0.3835706411883073
10.1038/S41598-025-28986-4,10.16628/j.cnki.2095-8188.2025.11.006,0.33946736991660215
10.1038/S41598-025-28986-4,10.19585/j.zjdl.202506005,0.3230291412348993
10.1038/S41598-025-28986-4,10.19768/j.cnki.dgjs.2025.14.035,0.3442651863295481
10.1038/S41598-025-28986-4,10.27029/d.cnki.ggdgu.2025.002295,0.41403933560541256
10.1038/S41598-025-28986-4,10.27327/d.cnki.gshnu.2025.001912,0.48795003647426655
10.1038/S41598-025-28986-4,10.3390/EN19010061,0.3626387311292997
10.1038/S41598-025-28986-4,人工智能技术在10 kV配电网设计中的应用,0.4303314829119352
10.1038/S41598-025-28986-4,基于标准化麻雀搜索算法的微电网调度研究,0.3478327964999673
10.1038/S41598-025-28986-4,基于深度学习的电力输配电线路节能降耗技术研究,0.39852669849304284
10.1049/RPG2.70162,10.1080/15435075.2025.2563145,0.5325080420189116
10.1049/RPG2.70162,10.1080/15567249.2025.2531448,0.5993229798598032
10.1049/RPG2.70162,10.1109/TPWRS.2023.3266763,0.3795360576382948
10.1049/RPG2.70162,10.13245/j.hust.250644,0.5015698625755192
10.1049/RPG2.70162,10.13535/j.cnki.10-1507/n.2024.15.30,0.447213595499958
10.1049/RPG2.70162,10.16183/j.cnki.jsjtu.2024.184,0.5642660953974591
10.1049/RPG2.70162,10.16628/j.cnki.2095-8188.2025.11.006,0.6110100926607787
10.1049/RPG2.70162,10.19389/j.cnki.1003-0506.2025.03.034,0.5917680237554188
10.1049/RPG2.70162,10.19457/j.1001-2095.dqcd24909,0.5409627460747114
10.1049/RPG2.70162,10.19725/j.cnki.1007-2322.2024.0085,0.6096139872764946
10.1049/RPG2.70162,10.19768/j.cnki.dgjs.2025.14.035,0.59336610396393
10.1049/RPG2.70162,10.19768/j.cnki.dgjs.2025.23.039,0.48105119936474167
10.1049/RPG2.70162,10.19783/j.cnki.pspc.241701,0.5060243137049899
10.1049/RPG2.70162,10.19912/j.0254-0096.tynxb.2023-1790,0.5513827967081918
10.1049/RPG2.70162,10.26914/c.cnkihy.2025.077503,0.5774612874137439
10.1049/RPG2.70162,10.26918/d.cnki.ghngc.2025.001579,0.606217782649107
10.1049/RPG2.70162,10.26926/d.cnki.gbfgu.2024.000792,0.6221362965046899
10.1049/RPG2.70162,10.27029/d.cnki.ggdgu.2025.000906,0.5560092997993961
10.1049/RPG2.70162,10.27029/d.cnki.ggdgu.2025.001070,0.5533985905294664
10.1049/RPG2.70162,10.27029/d.cnki.ggdgu.2025.002295,0.5367450401216932
10.1049/RPG2.70162,10.27034/d.cnki.ggxiu.2025.000594,0.4296689244236597
10.1049/RPG2.70162,10.27047/d.cnki.ggudu.2024.003176,0.5750546327852951
10.1049/RPG2.70162,10.27123/d.cnki.ghlju.2025.001668,0.47336463120312877
10.1049/RPG2.70162,10.27763/d.cnki.gahgc.2024.000190,0.626962328219399
10.1049/RPG2.70162,10.3390/BUILDINGS16010170,0.5163977794943223
10.1049/RPG2.70162,10.3390/ELECTRONICS14244857,0.5183052680392058
10.1049/RPG2.70162,一种双阶段电力数据异常分析模型,0.6260475092762272
10.1049/RPG2.70162,基于云计算的电力系统短期负荷预测研究,0.5313689313240572
10.1049/RPG2.70162,基于大数据分析的电力调度自动化负荷预测模型研究,0.40509574683346666
